episode,return,length
1544,-58.7,258
1545,-79.5,278
1546,196.3,387
1547,-64.7,394
1548,-49.4,207
1549,-85.9,394
1550,213.0,376
1551,165.4,457
1552,-84.4,345
1553,-84.7,348
1554,-72.0,288
1555,169.6,739
1556,228.4,394
1557,-54.1,351
1558,-52.3,246
1559,73.7,1000
1560,188.3,384
1561,-60.1,180
1562,-112.8,326
1563,-99.5,360
1564,172.3,482
1565,-74.9,357
1566,-61.8,313
1567,-116.5,366
1568,-25.8,319
1569,185.3,363
1570,-91.0,347
1571,-52.9,354
1572,207.4,449
1573,217.1,382
1574,220.4,375
1575,223.1,399
1576,-129.1,268
1577,73.6,1000
1578,-97.9,398
1579,149.5,603
1580,-48.5,312
1581,-82.8,247
1582,220.8,396
1583,164.7,431
1584,-96.2,388
1585,-72.6,194
1586,-10.2,247
1587,65.6,1000
1588,-23.6,200
1589,-55.7,251
1590,141.6,433
1591,-13.9,205
1592,176.9,385
1593,132.0,407
1594,-80.9,431
1595,-76.9,336
1596,217.1,382
1597,148.7,516
1598,-48.6,274
1599,198.8,385
1600,-54.5,177
1601,63.4,1000
1602,195.7,401
1603,-98.8,433
1604,155.1,436
1605,182.3,354
1606,-52.5,240
1607,-131.1,242
1608,-49.5,298
1609,-51.7,217
1610,-73.8,246
1611,237.5,370
1612,191.8,302
1613,-72.4,322
1614,-55.7,309
1615,78.9,1000
1616,-50.8,231
1617,223.0,369
1618,-27.3,266
1619,-75.2,183
1620,-24.7,283
1621,219.8,422
1622,-139.9,317
1623,163.7,443
1624,-73.9,342
1625,-71.3,232
1626,-112.6,467
1627,199.7,393
1628,148.1,428
1629,-46.2,255
1630,147.1,464
1631,217.0,378
1632,227.9,374
1633,191.9,303
1634,-47.0,327
1635,-85.7,319
1636,114.3,699
1637,73.8,1000
1638,-60.4,232
1639,199.2,303
1640,-75.2,339
1641,-99.2,326
1642,182.0,500
1643,246.2,371
1644,-50.5,226
1645,-77.4,171
1646,154.3,502
1647,-90.4,260
1648,172.7,689
1649,210.2,402
1650,202.8,435
1651,-69.6,340
1652,-131.1,558
1653,-85.8,355
1654,205.4,387
1655,-33.7,350
1656,-68.8,203
1657,-61.5,371
1658,-107.8,606
1659,176.7,460
1660,-84.0,309
1661,-112.6,442
1662,-86.1,392
1663,-109.9,509
1664,-79.5,300
1665,220.0,495
1666,-65.2,189
1667,-107.9,540
1668,182.9,401
1669,93.0,727
1670,-100.5,684
1671,-81.0,288
1672,-55.2,300
1673,212.4,487
1674,194.7,403
1675,189.0,315
1676,214.0,405
1677,157.0,508
1678,186.1,546
1679,-104.4,532
1680,127.1,709
1681,169.9,462
1682,-76.4,177
1683,-50.2,373
1684,-66.5,259
1685,-98.8,393
1686,-122.9,451
1687,182.0,488
1688,-79.9,466
1689,-76.0,330
1690,-157.4,455
1691,-106.9,302
1692,195.8,464
1693,182.1,493
1694,-75.4,286
1695,155.8,549
1696,210.3,481
1697,203.2,391
1698,192.7,445
1699,-152.0,379
1700,-85.1,285
1701,154.6,541
1702,175.9,490
1703,209.2,485
1704,135.2,531
1705,191.1,985
1706,-72.3,326
1707,-48.9,300
1708,123.0,632
1709,-60.2,258
1710,-56.6,346
1711,-85.0,463
1712,-69.3,235
1713,177.6,726
1714,171.7,541
1715,-80.5,377
1716,-105.2,413
1717,-22.8,214
1718,-142.3,283
1719,-51.4,318
1720,-62.4,248
1721,135.2,671
1722,-106.9,385
1723,-73.7,306
1724,191.6,450
1725,-88.1,268
1726,-118.4,607
1727,-56.8,378
1728,-88.6,391
1729,-66.2,186
1730,-52.7,246
1731,-28.3,286
1732,-63.6,248
1733,-54.0,412
1734,-76.3,316
1735,-58.3,272
1736,119.5,613
1737,163.6,465
1738,-125.0,580
1739,-53.5,175
1740,-31.9,331
1741,-103.4,545
1742,104.2,662
1743,187.9,524
1744,166.6,787
1745,196.1,506
1746,157.3,575
1747,23.1,1000
1748,166.2,552
1749,-96.7,294
1750,194.9,665
1751,-138.1,796
1752,178.9,637
1753,94.3,978
1754,179.5,362
1755,-113.8,684
1756,147.4,620
1757,207.6,514
1758,142.8,698
1759,55.8,996
1760,151.1,467
1761,151.8,449
1762,197.5,518
1763,177.9,471
1764,-67.8,385
1765,131.3,684
1766,-33.5,1000
1767,175.7,580
1768,41.0,1000
1769,-65.1,429
1770,192.2,569
1771,177.4,730
1772,168.0,563
1773,179.6,681
1774,27.5,1000
1775,192.1,506
1776,125.0,695
1777,115.5,694
1778,251.2,473
1779,-54.0,1000
1780,156.6,533
1781,-63.4,1000
1782,-42.0,193
1783,-92.0,413
1784,89.0,1000
1785,181.5,708
1786,65.0,1000
1787,193.2,646
1788,78.9,1000
1789,202.6,451
1790,194.4,519
1791,-116.1,701
1792,153.8,529
1793,183.4,513
1794,121.0,650
1795,237.1,527
1796,-126.1,587
1797,-27.8,243
1798,-48.4,183
1799,-100.0,557
1800,7.9,1000
1801,173.8,499
1802,64.5,1000
1803,159.9,715
1804,86.4,1000
1805,167.6,851
1806,142.2,508
1807,71.3,1000
1808,99.5,829
1809,-28.1,224
1810,157.5,515
1811,201.2,387
1812,-44.2,176
1813,212.6,273
1814,156.5,476
1815,-74.4,168
1816,-57.4,301
1817,-38.6,391
1818,208.5,490
1819,154.5,527
1820,144.6,672
1821,169.6,443
1822,-42.8,245
1823,223.6,494
1824,192.0,508
1825,164.0,544
1826,-112.0,492
1827,218.0,498
1828,146.6,808
1829,-37.3,210
1830,64.6,1000
1831,152.8,386
1832,-49.4,216
1833,196.1,396
1834,-42.9,331
1835,171.7,500
1836,-73.3,361
1837,164.6,536
1838,-27.2,324
1839,170.2,373
1840,-69.2,344
1841,20.5,1000
1842,179.6,467
1843,191.8,452
1844,-35.5,306
1845,-61.6,404
1846,161.2,452
1847,80.9,692
1848,-18.3,1000
1849,-49.6,1000
1850,144.0,637
1851,-72.6,448
1852,146.8,526
1853,164.0,621
1854,177.0,475
1855,185.1,469
1856,176.2,536
1857,217.7,532
1858,146.9,642
1859,114.3,614
1860,158.2,419
1861,-42.9,205
1862,29.6,1000
1863,176.7,503
1864,-77.5,530
1865,-46.7,313
1866,189.7,427
1867,248.0,373
1868,-102.6,658
1869,-15.4,335
1870,179.8,278
1871,252.1,427
1872,158.7,668
1873,226.3,388
1874,-53.1,305
1875,221.6,386
1876,-88.5,515
1877,218.4,408
1878,90.2,1000
1879,-167.7,826
1880,180.5,445
1881,9.0,379
1882,201.6,405
1883,-63.3,253
1884,198.1,412
1885,173.6,514
1886,-49.9,322
1887,164.0,429
1888,-6.0,1000
1889,149.1,613
1890,-61.2,536
1891,219.2,372
1892,-67.8,190
1893,182.8,516
1894,157.9,665
1895,-170.8,335
1896,-137.1,637
1897,191.6,436
1898,263.2,364
1899,-33.8,276
1900,-23.5,364
1901,-72.8,403
1902,77.0,690
1903,187.6,463
1904,188.3,458
1905,-22.6,299
1906,157.4,386
1907,111.1,1000
1908,33.3,1000
1909,-54.4,244
1910,205.2,366
1911,-21.6,375
1912,188.5,319
1913,211.9,391
1914,-76.8,191
1915,125.5,391
1916,218.3,788
1917,-33.3,251
1918,-98.6,368
1919,194.5,762
1920,-79.4,202
1921,-48.0,215
1922,62.5,1000
1923,-46.6,275
1924,59.1,1000
1925,-54.3,337
1926,37.3,1000
1927,193.8,495
1928,-31.6,303
1929,-65.4,417
1930,209.9,424
1931,-79.4,441
1932,-40.3,240
1933,218.2,326
1934,229.8,387
1935,-89.4,360
1936,-25.6,278
1937,190.7,487
1938,-69.3,468
1939,242.1,409
1940,196.4,436
1941,203.8,400
1942,207.9,402
1943,-47.9,358
1944,-124.0,304
1945,190.6,400
1946,149.1,797
1947,-34.8,345
1948,72.4,1000
1949,-53.3,184
1950,191.6,362
1951,179.3,816
1952,209.9,397
1953,-103.0,502
1954,166.7,511
1955,-55.4,221
1956,-82.0,392
1957,215.0,477
1958,-66.9,373
1959,123.7,1000
1960,-85.6,341
1961,71.5,1000
1962,-46.5,1000
1963,-93.9,224
1964,-33.0,390
1965,-63.2,331
1966,201.9,453
1967,209.7,406
1968,201.5,435
1969,-15.3,434
1970,180.8,417
1971,232.0,471
1972,-147.6,533
1973,131.7,486
1974,-47.7,422
1975,104.0,644
1976,-51.6,357
1977,-28.1,317
1978,177.1,501
1979,-4.3,1000
1980,-25.6,1000
1981,144.4,513
1982,193.4,547
1983,52.4,1000
1984,210.6,421
1985,177.3,490
1986,-49.4,1000
