episode,return,length
357,-159.8,188
358,-34.2,178
359,-51.3,390
360,19.2,105
361,9.4,152
362,-6.7,233
363,-27.4,1000
364,-0.3,171
365,-102.5,204
366,-27.2,399
367,93.9,1000
368,36.5,166
369,79.3,1000
370,-24.2,304
371,45.9,263
372,-20.8,151
373,-64.9,226
374,14.6,189
375,-164.1,269
376,-1.5,279
377,-24.1,226
378,-93.7,319
379,-55.2,313
380,-64.3,188
381,-22.2,225
382,-77.2,262
383,-55.7,283
384,-22.1,206
385,-20.9,204
386,-22.0,131
387,23.0,1000
388,55.8,1000
389,69.4,1000
390,30.4,170
391,-10.9,384
392,-39.6,276
393,18.6,220
394,-20.3,289
395,42.7,148
396,-33.1,143
397,-34.1,164
398,-44.7,411
399,-68.0,339
400,-18.1,132
401,-20.3,189
402,-27.4,328
403,12.4,188
404,-9.8,182
405,23.2,147
406,2.9,210
407,26.5,238
408,52.6,1000
409,-37.2,249
410,-1.7,287
411,-108.0,245
412,-56.5,396
413,46.1,1000
414,-6.2,438
415,-158.3,240
416,64.9,1000
417,1.3,416
418,-32.6,160
419,-14.4,235
420,-89.7,319
421,-44.8,355
422,-27.0,203
423,0.4,153
424,-22.7,212
425,-98.8,516
426,0.2,1000
427,-29.2,217
428,39.9,1000
429,-27.0,301
430,-141.1,392
431,122.9,1000
432,-125.2,337
433,-7.8,1000
434,-67.3,282
435,86.9,1000
436,-197.5,458
437,-95.6,363
438,37.2,1000
439,-23.0,1000
440,-55.6,399
441,-150.8,323
442,97.0,1000
443,-19.6,281
444,33.6,1000
445,-82.6,304
446,101.5,1000
447,-71.4,335
448,-15.4,399
449,-76.1,271
450,3.9,1000
451,19.8,1000
452,25.1,408
453,-1.2,1000
454,-216.7,851
455,62.8,1000
456,-195.8,679
457,69.7,1000
458,-204.4,517
459,-4.4,275
460,95.4,1000
461,-114.5,447
462,-110.9,465
463,-2.9,366
464,-174.2,351
465,-95.8,528
466,87.3,1000
467,143.6,1000
468,84.9,1000
469,-44.9,224
470,60.8,1000
471,128.4,1000
472,89.7,1000
473,67.5,1000
474,92.2,1000
475,-53.3,346
476,62.6,1000
477,-84.2,464
478,146.8,1000
479,-95.0,544
480,80.5,1000
481,25.2,1000
482,-159.9,647
483,-154.5,496
484,-186.6,794
485,-69.6,679
486,-110.4,352
487,43.0,1000
488,-15.6,1000
489,-103.6,285
490,-6.6,1000
491,-27.9,1000
492,-81.7,635
493,50.2,1000
494,52.7,1000
495,23.9,1000
496,8.1,1000
497,34.0,1000
498,-202.4,926
499,-90.1,416
500,-86.7,1000
501,-142.2,645
502,-127.1,511
503,-209.9,706
504,-60.1,1000
505,-42.9,1000
506,-138.8,803
507,88.5,1000
508,-48.4,1000
509,-25.0,1000
510,30.9,1000
511,55.0,1000
512,96.6,1000
513,72.1,1000
514,45.0,1000
515,-23.1,1000
516,-0.2,1000
517,63.6,1000
518,40.7,1000
519,-112.7,858
520,-36.2,1000
521,29.9,1000
522,-56.2,1000
523,76.1,1000
524,80.1,1000
525,14.8,1000
526,55.9,1000
527,47.8,1000
528,15.7,1000
529,36.4,1000
530,-10.9,1000
531,-97.5,877
532,82.0,1000
533,52.0,847
534,20.8,1000
535,6.5,1000
536,72.3,1000
537,21.1,1000
538,27.5,1000
539,41.2,1000
540,46.8,1000
541,79.4,1000
542,-96.6,652
543,23.5,1000
544,102.9,1000
545,54.2,1000
546,62.2,1000
547,40.9,1000
548,109.4,1000
549,-61.4,541
550,-53.5,470
551,-148.0,525
552,84.0,1000
553,116.4,1000
554,-38.1,1000
555,-126.9,523
556,126.9,1000
557,13.3,1000
558,-107.7,529
559,-146.4,612
560,-109.1,518
561,-56.2,1000
562,-171.6,603
563,-95.6,340
564,-118.8,532
565,76.3,1000
566,-127.4,567
567,-75.5,662
568,109.0,1000
569,93.8,1000
570,15.5,1000
571,20.3,1000
572,139.0,695
573,58.1,1000
574,-28.5,1000
575,74.7,1000
576,-96.1,546
577,105.1,1000
578,-79.4,464
579,51.2,1000
580,-76.1,465
581,104.3,1000
582,21.3,1000
583,78.7,1000
584,99.6,1000
585,-43.5,523
586,72.7,1000
587,74.3,1000
588,65.3,1000
589,78.4,1000
590,120.7,1000
591,-119.5,504
592,-58.5,538
593,56.2,1000
594,-66.8,399
595,84.4,1000
596,125.2,1000
597,50.5,1000
598,78.2,1000
599,39.9,1000
600,-83.2,487
601,79.0,1000
602,59.2,1000
603,66.4,827
604,89.5,1000
605,19.8,1000
606,90.2,984
607,29.4,1000
608,-111.8,864
609,21.1,1000
610,76.6,1000
611,-107.6,761
612,80.0,1000
613,105.4,823
614,54.3,1000
615,81.8,1000
616,116.7,955
617,-2.6,1000
618,33.2,1000
619,-17.1,1000
620,65.9,1000
621,23.4,1000
622,38.3,1000
623,49.0,1000
624,102.9,1000
625,69.7,1000
626,87.1,1000
627,173.5,611
628,88.6,1000
629,71.2,1000
630,74.4,1000
631,-67.5,421
632,133.1,713
633,-64.9,465
634,-100.3,534
635,-56.9,573
636,-3.9,1000
637,54.3,1000
638,54.1,1000
639,33.6,1000
640,53.9,1000
641,64.2,1000
642,-40.6,458
643,-96.8,601
644,31.1,1000
645,-60.2,520
646,-112.5,620
647,-96.5,579
648,37.4,1000
649,-92.5,746
650,151.0,798
651,-56.8,590
652,-80.1,420
653,-151.8,531
654,59.5,1000
655,-103.7,645
656,73.7,1000
657,-111.4,671
658,58.4,1000
659,85.4,1000
660,-89.8,677
661,28.7,1000
662,70.6,1000
663,-111.9,699
664,-73.0,584
665,-153.1,727
666,6.1,1000
667,68.9,1000
668,18.0,1000
669,56.5,1000
670,52.1,1000
671,42.5,1000
672,-99.5,605
673,37.7,1000
674,87.0,1000
675,47.5,1000
676,23.5,1000
677,155.7,739
678,-75.6,495
679,71.9,1000
680,-61.7,611
681,44.5,1000
682,-85.7,672
683,33.4,1000
684,-180.9,605
685,-74.7,553
686,-95.6,596
687,-83.4,682
688,-75.9,206
689,188.4,720
690,15.9,1000
691,32.8,1000
692,83.8,1000
693,137.9,706
694,139.6,682
695,-97.3,639
696,-87.0,569
697,112.3,1000
698,-86.9,570
699,107.8,1000
700,156.8,700
701,199.9,746
702,217.5,807
703,166.4,622
704,211.3,860
705,187.2,678
706,-69.6,549
707,186.6,912
708,107.7,1000
709,151.4,923
710,202.0,643
711,-35.9,546
712,171.8,737
713,-90.0,647
714,184.5,600
715,184.7,827
716,-14.4,1000
717,185.0,665
718,159.5,706
719,102.3,858
720,169.0,663
721,-143.2,859
722,10.1,1000
723,194.0,616
724,196.8,673
725,-86.1,1000
726,-109.9,700
727,212.2,599
728,119.5,773
729,134.3,976
730,-152.3,695
731,-131.0,834
732,-79.7,457
733,69.0,965
734,26.1,1000
735,-122.8,662
736,200.2,540
737,-48.2,385
738,175.8,656
739,213.2,532
740,-76.3,411
741,-90.1,499
742,162.6,871
743,79.1,1000
744,-41.6,437
745,208.3,435
746,189.5,592
747,203.5,561
748,1.1,1000
749,-60.7,480
750,192.0,492
751,177.8,671
752,165.5,643
753,168.6,555
754,-87.4,460
755,126.2,492
756,-50.8,487
757,28.6,1000
758,194.3,581
759,-12.2,478
760,179.6,607
761,159.0,911
762,188.5,694
763,209.9,620
764,178.3,947
765,196.2,536
766,29.4,1000
767,-32.9,517
768,-41.7,1000
769,189.9,469
770,142.8,593
771,-39.8,467
772,-65.7,473
773,191.8,623
774,217.8,559
775,193.9,482
776,-50.5,483
777,-69.5,456
